,Theta/Phi,Loss,Accuracy
59,0.02564102564102564,0.48717948717948717,90.2475
60,0.02564102564102564,0.5128205128205128,89.4325
61,0.02564102564102564,0.5384615384615384,88.3525
62,0.02564102564102564,0.5641025641025641,87.13
63,0.02564102564102564,0.5897435897435898,86.035
64,0.02564102564102564,0.6153846153846154,84.445
65,0.02564102564102564,0.641025641025641,83.7275
66,0.02564102564102564,0.6666666666666666,82.0075
67,0.02564102564102564,0.6923076923076923,80.95
68,0.02564102564102564,0.717948717948718,79.27
69,0.02564102564102564,0.7435897435897436,77.83
70,0.02564102564102564,0.7692307692307692,76.1675
71,0.02564102564102564,0.7948717948717948,75.1275
72,0.02564102564102564,0.8205128205128205,73.9725
73,0.02564102564102564,0.8461538461538461,72.6125
74,0.02564102564102564,0.8717948717948718,71.7875
75,0.02564102564102564,0.8974358974358974,70.01
76,0.02564102564102564,0.923076923076923,68.81
77,0.02564102564102564,0.9487179487179487,67.3975
78,0.02564102564102564,0.9743589743589743,64.99
79,0.02564102564102564,1.0,62.595
80,0.05128205128205128,0.0,98.525
81,0.05128205128205128,0.02564102564102564,98.55
82,0.05128205128205128,0.05128205128205128,98.625
83,0.05128205128205128,0.07692307692307693,98.415
84,0.05128205128205128,0.10256410256410256,98.3425
85,0.05128205128205128,0.1282051282051282,98.2725
86,0.05128205128205128,0.15384615384615385,97.775
87,0.05128205128205128,0.1794871794871795,97.8125
88,0.05128205128205128,0.20512820512820512,97.535
89,0.05128205128205128,0.23076923076923075,96.42
90,0.05128205128205128,0.2564102564102564,96.115
91,0.05128205128205128,0.28205128205128205,95.3925
92,0.05128205128205128,0.3076923076923077,94.605
93,0.05128205128205128,0.3333333333333333,94.4325
94,0.05128205128205128,0.358974358974359,93.6675
95,0.05128205128205128,0.3846153846153846,92.57
96,0.05128205128205128,0.41025641025641024,91.7975
97,0.05128205128205128,0.4358974358974359,90.385
98,0.05128205128205128,0.4615384615384615,90.2125
99,0.05128205128205128,0.48717948717948717,89.935
100,0.05128205128205128,0.5128205128205128,88.71
101,0.05128205128205128,0.5384615384615384,87.535
102,0.05128205128205128,0.5641025641025641,86.425
103,0.05128205128205128,0.5897435897435898,85.1
104,0.05128205128205128,0.6153846153846154,83.2075
105,0.05128205128205128,0.641025641025641,81.945
106,0.05128205128205128,0.6666666666666666,81.6925
107,0.05128205128205128,0.6923076923076923,79.44
108,0.05128205128205128,0.717948717948718,79.2325
109,0.05128205128205128,0.7435897435897436,77.595
110,0.05128205128205128,0.7692307692307692,76.3525
111,0.05128205128205128,0.7948717948717948,75.7275
112,0.05128205128205128,0.8205128205128205,73.045
113,0.05128205128205128,0.8461538461538461,71.805
114,0.05128205128205128,0.8717948717948718,70.54
115,0.05128205128205128,0.8974358974358974,69.105
116,0.05128205128205128,0.923076923076923,67.7625
117,0.05128205128205128,0.9487179487179487,65.0475
118,0.05128205128205128,0.9743589743589743,64.465
119,0.05128205128205128,1.0,61.4275
120,0.07692307692307693,0.0,96.745
121,0.07692307692307693,0.02564102564102564,96.925
122,0.07692307692307693,0.05128205128205128,97.17
123,0.07692307692307693,0.07692307692307693,97.1225
124,0.07692307692307693,0.10256410256410256,96.3
125,0.07692307692307693,0.1282051282051282,96.7725
126,0.07692307692307693,0.15384615384615385,96.0225
